"","sampledate","Source","Pext_kgday","Yr"
"1436",2017-09-02,"Pother_kgday",23.1752075627701,"2017"
"1437",2017-09-03,"Pother_kgday",17.9352721269177,"2017"
"1438",2017-09-04,"Pother_kgday",24.1430754947898,"2017"
"1439",2017-09-05,"Pother_kgday",20.1873507520519,"2017"
"1440",2017-09-06,"Pother_kgday",16.7276445371761,"2017"
"1441",2017-09-07,"Pother_kgday",15.5346430552196,"2017"
"1442",2017-09-08,"Pother_kgday",15.2280558666249,"2017"
"1443",2017-09-09,"Pother_kgday",12.7681457249947,"2017"
"1444",2017-09-10,"Pother_kgday",13.188897097764,"2017"
"1445",2017-09-11,"Pother_kgday",13.2196572194397,"2017"
"1446",2017-09-12,"Pother_kgday",13.2247217098644,"2017"
"1447",2017-09-13,"Pother_kgday",16.7238218341117,"2017"
"1448",2017-09-14,"Pother_kgday",16.2098935565115,"2017"
"1449",2017-09-15,"Pother_kgday",18.3722583808094,"2017"
"1450",2018-07-15,"Pother_kgday",16.2929677105837,"2018"
"1451",2018-07-16,"Pother_kgday",16.8350477728155,"2018"
"1452",2018-07-17,"Pother_kgday",14.4252522489381,"2018"
"1453",2018-07-18,"Pother_kgday",12.3787392507892,"2018"
"1454",2018-07-19,"Pother_kgday",18.5783199766681,"2018"
"1455",2018-07-20,"Pother_kgday",56.2517609852396,"2018"
"1456",2018-07-21,"Pother_kgday",45.5941476989352,"2018"
"1457",2018-07-22,"Pother_kgday",25.0950509941401,"2018"
"1458",2018-07-23,"Pother_kgday",16.6122003212841,"2018"
"1459",2018-07-24,"Pother_kgday",14.9371885634338,"2018"
"1460",2018-07-25,"Pother_kgday",12.2339125880715,"2018"
"1461",2018-07-26,"Pother_kgday",16.655848245429,"2018"
"1462",2018-07-27,"Pother_kgday",14.6784016627022,"2018"
"1463",2018-07-28,"Pother_kgday",13.1125192971242,"2018"
"1464",2018-07-29,"Pother_kgday",12.2880208506499,"2018"
"1465",2018-07-30,"Pother_kgday",16.1236465190272,"2018"
"1466",2018-07-31,"Pother_kgday",15.6446313310231,"2018"
"1467",2018-08-01,"Pother_kgday",15.2347812859773,"2018"
"1468",2018-08-02,"Pother_kgday",19.5130938903757,"2018"
"1469",2018-08-03,"Pother_kgday",13.27146857214,"2018"
"1470",2018-08-04,"Pother_kgday",12.3645035179107,"2018"
"1471",2018-08-05,"Pother_kgday",16.7958610896853,"2018"
"1472",2018-08-06,"Pother_kgday",37.0552056755847,"2018"
"1473",2018-08-07,"Pother_kgday",22.2090923445283,"2018"
"1474",2018-08-08,"Pother_kgday",13.7832424062006,"2018"
"1475",2018-08-09,"Pother_kgday",27.6816379206077,"2018"
"1476",2018-08-10,"Pother_kgday",19.8565821059665,"2018"
"1477",2018-08-11,"Pother_kgday",13.8639384847295,"2018"
"1478",2018-08-12,"Pother_kgday",12.6492822459058,"2018"
"1479",2018-08-13,"Pother_kgday",12.3300287205944,"2018"
"1480",2018-08-14,"Pother_kgday",11.43241760931,"2018"
"1481",2018-08-15,"Pother_kgday",12.4480834237622,"2018"
