"","sampledate","daynum","Yr","extTotP_kgday"
"395",2018-08-24,236,2018,208.667963196178
"396",2018-08-25,237,2018,181.437887922027
"397",2018-08-26,238,2018,187.580609608069
"398",2018-08-27,239,2018,207.156470248482
"399",2018-08-28,240,2018,214.256254432254
"400",2018-08-29,241,2018,410.774909159624
"401",2018-08-30,242,2018,179.146182768082
"402",2018-08-31,243,2018,120.073182572696
"403",2018-09-01,244,2018,110.096629951162
"404",2018-09-02,245,2018,243.783588071252
"405",2018-09-03,246,2018,280.966303627588
"406",2018-09-04,247,2018,187.164137582806
"407",2018-09-05,248,2018,231.59947603332
"408",2018-09-06,249,2018,265.468374881761
"409",2018-09-07,250,2018,143.296055767145
"410",2018-09-08,251,2018,113.081365567313
"411",2018-09-09,252,2018,95.804154660807
"412",2018-09-10,253,2018,83.8249247084076
"413",2018-09-11,254,2018,71.5485829017378
"414",2018-09-12,255,2018,64.505632515638
"415",2019-07-14,195,2019,44.7317719080156
"416",2019-07-15,196,2019,36.2684585342648
"417",2019-07-16,197,2019,46.6103808789032
"418",2019-07-17,198,2019,40.8053815962205
"419",2019-07-18,199,2019,135.586980062668
"420",2019-07-19,200,2019,451.076077903899
"421",2019-07-20,201,2019,216.330905337791
"422",2019-07-21,202,2019,175.478035509292
"423",2019-07-22,203,2019,130.034405519515
"424",2019-07-23,204,2019,77.5404854239169
"425",2019-07-24,205,2019,60.2821620628237
"426",2019-07-25,206,2019,57.9639849864221
"427",2019-07-26,207,2019,50.8010167728461
"428",2019-07-27,208,2019,54.2979173148859
"429",2019-07-28,209,2019,45.2768635327498
"430",2019-07-29,210,2019,58.7710859545885
"431",2019-07-30,211,2019,46.1939859775108
"432",2019-07-31,212,2019,37.3936375673586
"433",2019-08-01,213,2019,33.7968788691395
"434",2019-08-02,214,2019,33.294541111775
"435",2019-08-03,215,2019,34.7813572055908
"436",2019-08-04,216,2019,34.3522142960297
"437",2019-08-05,217,2019,70.7201542689882
"438",2019-08-06,218,2019,76.220559160916
"439",2019-08-07,219,2019,52.0887296514024
"440",2019-08-08,220,2019,49.8002593990605
"441",2019-08-09,221,2019,41.9599463282995
"442",2019-08-10,222,2019,41.9160118617535
"443",2019-08-11,223,2019,65.1406036463154
"444",2019-08-12,224,2019,51.5796474077963
"445",2019-08-13,225,2019,56.0664434604459
"446",2019-08-14,226,2019,54.382882094768
"447",2019-08-15,227,2019,48.3242662290774
"448",2019-08-16,228,2019,48.5637833949049
"449",2019-08-17,229,2019,44.8848980339632
"450",2019-08-18,230,2019,65.4987134860331
"451",2019-08-19,231,2019,47.0128785066842
"452",2019-08-20,232,2019,41.259590272606
"453",2019-08-21,233,2019,40.1480386524592
"454",2019-08-22,234,2019,38.522266268721
"455",2019-08-23,235,2019,36.6158719343503
"456",2019-08-24,236,2019,34.5133358233257
"457",2019-08-25,237,2019,39.9847820965336
"458",2019-08-26,238,2019,48.5394488983034
"459",2019-08-27,239,2019,35.6860028430087
"460",2019-08-28,240,2019,35.5349758769011
"461",2019-08-29,241,2019,32.8523817163957
"462",2019-08-30,242,2019,35.1757699937986
"463",2019-08-31,243,2019,32.6336091372714
"464",2019-09-01,244,2019,30.9044445684092
"465",2019-09-02,245,2019,35.612244290576
"466",2019-09-03,246,2019,37.5986992026686
"467",2019-09-04,247,2019,35.0366089079052
"468",2019-09-05,248,2019,29.1014179534302
"469",2019-09-06,249,2019,33.4732975389852
"470",2019-09-07,250,2019,30.3778588236627
"471",2019-09-08,251,2019,31.7172183101102
"472",2019-09-09,252,2019,40.437145709319
"473",2019-09-10,253,2019,140.653159768313
"474",2019-09-11,254,2019,69.5224045473637
"475",2019-09-12,255,2019,151.666803631925
"476",2020-07-13,195,2020,163.031583465242
"477",2020-07-14,196,2020,163.55410415453
"478",2020-07-15,197,2020,218.571470253731
"479",2020-07-16,198,2020,190.001497409993
"480",2020-07-17,199,2020,138.719251207004
"481",2020-07-18,200,2020,96.3760293838048
"482",2020-07-19,201,2020,80.7628670383721
"483",2020-07-20,202,2020,68.0490779363834
"484",2020-07-21,203,2020,56.7235723537224
"485",2020-07-22,204,2020,56.3921106111619
"486",2020-07-23,205,2020,50.9877037211133
"487",2020-07-24,206,2020,44.1757343146055
"488",2020-07-25,207,2020,41.1164412723313
"489",2020-07-26,208,2020,112.69938311649
"490",2020-07-27,209,2020,95.7894752213667
"491",2020-07-28,210,2020,58.839124234384
"492",2020-07-29,211,2020,54.6045952705247
"493",2020-07-30,212,2020,46.2889374849567
"494",2020-07-31,213,2020,41.5313385020969
"495",2020-08-01,214,2020,39.2862674806809
"496",2020-08-02,215,2020,56.0718013850674
"497",2020-08-03,216,2020,40.140718505325
"498",2020-08-04,217,2020,37.8022397641775
"499",2020-08-05,218,2020,36.461219146701
"500",2020-08-06,219,2020,35.5245534748986
"501",2020-08-07,220,2020,33.777834743039
"502",2020-08-08,221,2020,33.8655003553761
"503",2020-08-09,222,2020,53.8368527377285
"504",2020-08-10,223,2020,59.6876049041413
"505",2020-08-11,224,2020,47.9490548638386
"506",2020-08-12,225,2020,41.6311366711313
"507",2020-08-13,226,2020,39.8171151560115
"508",2020-08-14,227,2020,36.764841332363
"509",2020-08-15,228,2020,39.1171926047865
"510",2020-08-16,229,2020,36.3807415665431
"511",2020-08-17,230,2020,36.80357185614
"512",2020-08-18,231,2020,35.7407375795349
"513",2020-08-19,232,2020,32.8206936997907
"514",2020-08-20,233,2020,33.4475987336718
"515",2020-08-21,234,2020,33.1883891920362
"516",2020-08-22,235,2020,32.0096106323995
"517",2020-08-23,236,2020,32.6041768611938
"518",2020-08-24,237,2020,40.2656675608949
"519",2020-08-25,238,2020,30.9226412795855
"520",2020-08-26,239,2020,28.801382444138
"521",2020-08-27,240,2020,54.4414422297102
"522",2020-08-28,241,2020,54.539631503483
"523",2020-08-29,242,2020,43.7390699227234
"524",2020-08-30,243,2020,37.0223676316095
"525",2020-08-31,244,2020,63.0188583544509
"526",2020-09-01,245,2020,40.9766828751902
"527",2020-09-02,246,2020,33.855438869027
"528",2020-09-03,247,2020,38.5890723976135
"529",2020-09-04,248,2020,36.7594857835406
"530",2020-09-05,249,2020,34.6062273161035
"531",2020-09-06,250,2020,47.8197380939089
"532",2020-09-07,251,2020,41.2688004436687
"533",2020-09-08,252,2020,64.240552347492
"534",2020-09-09,253,2020,58.9860364545327
"535",2020-09-10,254,2020,64.3753439951269
"536",2020-09-11,255,2020,100.418545550337
"537",2021-07-14,195,2021,45.485283270987
"538",2021-07-15,196,2021,34.3178767328067
"539",2021-07-16,197,2021,26.1878648324919
"540",2021-07-17,198,2021,25.3155415903292
"541",2021-07-18,199,2021,23.1552736905595
"542",2021-07-19,200,2021,23.0983199121046
"543",2021-07-20,201,2021,23.9015641588347
"544",2021-07-21,202,2021,23.6799584478985
"545",2021-07-22,203,2021,22.2471595284683
"546",2021-07-23,204,2021,22.0635760122555
"547",2021-07-24,205,2021,23.9550340169958
"548",2021-07-25,206,2021,22.83873359819
"549",2021-07-26,207,2021,21.3574949751803
"550",2021-07-27,208,2021,23.5632766613366
"551",2021-07-28,209,2021,29.2627802591146
"552",2021-07-29,210,2021,39.7539850709395
"553",2021-07-30,211,2021,24.8347777157954
"554",2021-07-31,212,2021,23.3993218178266
"555",2021-08-01,213,2021,24.8578807069011
"556",2021-08-02,214,2021,22.1880625518552
"557",2021-08-03,215,2021,22.4339138036002
"558",2021-08-04,216,2021,21.9425440340708
"559",2021-08-05,217,2021,21.1073243444805
"560",2021-08-06,218,2021,39.8707719893767
"561",2021-08-07,219,2021,60.5670858911007
