Date,Ctime,Rtime,id,depth_ft,Value,Analyte,Unit,Lab_ID,Data_source
7/6/1983,18:00:00,18:00:00,CUS,2,6.8,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/6/1983,18:00:00,18:00:00,CUS,5,8.5,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/6/1983,18:00:00,18:00:00,CUS,10,8.3,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/6/1983,18:00:00,18:00:00,CUS,20,2.8,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/6/1983,17:00:00,17:00:00,EMB,0,7.8,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/6/1983,17:00:00,17:00:00,EMB,2,7.1,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/6/1983,17:00:00,17:00:00,EMB,5,7.4,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/6/1983,17:00:00,17:00:00,EMB,10,9.6,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/6/1983,17:00:00,17:00:00,EMB,20,2.8,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/6/1983,14:00:00,14:00:00,EOF,0,6.7,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
